,attendance,box_score_text,game_date,game_remarks,game_start_time,home_pts,home_team_name,overtimes,visitor_pts,visitor_team_name,playoffs
0,"20,562",Box Score,"Tue, Oct 30, 2012",,7:00p,94,Cleveland Cavaliers,,84,Washington Wizards,N
1,"20,296",Box Score,"Tue, Oct 30, 2012",,8:00p,120,Miami Heat,,107,Boston Celtics,N
2,"18,997",Box Score,"Tue, Oct 30, 2012",,10:30p,91,Los Angeles Lakers,,99,Dallas Mavericks,N
3,"19,101",Box Score,"Wed, Oct 31, 2012",,7:00p,84,Philadelphia 76ers,,75,Denver Nuggets,N
4,"19,800",Box Score,"Wed, Oct 31, 2012",,7:00p,88,Toronto Raptors,,90,Indiana Pacers,N
5,"16,646",Box Score,"Wed, Oct 31, 2012",,7:30p,96,Detroit Pistons,,105,Houston Rockets,N
6,"21,313",Box Score,"Wed, Oct 31, 2012",,8:00p,93,Chicago Bulls,,87,Sacramento Kings,N
7,"15,358",Box Score,"Wed, Oct 31, 2012",,8:00p,95,New Orleans Hornets,,99,San Antonio Spurs,N
8,"17,634",Box Score,"Wed, Oct 31, 2012",,9:00p,113,Utah Jazz,,94,Dallas Mavericks,N
9,"15,678",Box Score,"Wed, Oct 31, 2012",,10:00p,85,Phoenix Suns,,87,Golden State Warriors,N
10,"19,060",Box Score,"Wed, Oct 31, 2012",,10:30p,101,Los Angeles Clippers,,92,Memphis Grizzlies,N
11,"20,401",Box Score,"Wed, Oct 31, 2012",,10:30p,116,Portland Trail Blazers,,106,Los Angeles Lakers,N
12,"18,581",Box Score,"Thu, Nov 1, 2012",,9:30p,86,San Antonio Spurs,,84,Oklahoma City Thunder,N
13,"19,124",Box Score,"Fri, Nov 2, 2012",,7:00p,90,Charlotte Bobcats,,89,Indiana Pacers,N
14,"18,846",Box Score,"Fri, Nov 2, 2012",,7:00p,102,Orlando Magic,,89,Denver Nuggets,N
15,"18,238",Box Score,"Fri, Nov 2, 2012",,7:30p,102,Atlanta Hawks,,109,Houston Rockets,N
16,"18,624",Box Score,"Fri, Nov 2, 2012",,7:30p,88,Boston Celtics,,99,Milwaukee Bucks,N
17,"20,562",Box Score,"Fri, Nov 2, 2012",,7:30p,86,Cleveland Cavaliers,,115,Chicago Bulls,N
18,"19,356",Box Score,"Fri, Nov 2, 2012",,8:00p,92,Minnesota Timberwolves,,80,Sacramento Kings,N
19,"14,147",Box Score,"Fri, Nov 2, 2012",,8:00p,88,New Orleans Hornets,,86,Utah Jazz,N
20,"19,033",Box Score,"Fri, Nov 2, 2012",,8:00p,104,New York Knicks,,84,Miami Heat,N
21,"18,203",Box Score,"Fri, Nov 2, 2012",,8:00p,106,Oklahoma City Thunder,,92,Portland Trail Blazers,N
22,"15,107",Box Score,"Fri, Nov 2, 2012",,10:00p,92,Phoenix Suns,,89,Detroit Pistons,N
23,"19,596",Box Score,"Fri, Nov 2, 2012",,10:30p,94,Golden State Warriors,,104,Memphis Grizzlies,N
24,"18,997",Box Score,"Fri, Nov 2, 2012",,10:30p,95,Los Angeles Lakers,,105,Los Angeles Clippers,N
25,"18,165",Box Score,"Sat, Nov 3, 2012",,7:00p,106,Indiana Pacers,2OT,98,Sacramento Kings,N
26,"20,308",Box Score,"Sat, Nov 3, 2012",,7:00p,86,Washington Wizards,,89,Boston Celtics,N
27,"17,732",Box Score,"Sat, Nov 3, 2012",,7:30p,107,Brooklyn Nets,,100,Toronto Raptors,N
28,"20,104",Box Score,"Sat, Nov 3, 2012",,7:30p,119,Miami Heat,,116,Denver Nuggets,N
29,"21,758",Box Score,"Sat, Nov 3, 2012",,8:00p,82,Chicago Bulls,,89,New Orleans Hornets,N
30,"18,140",Box Score,"Sat, Nov 3, 2012",,8:00p,85,Houston Rockets,OT,95,Portland Trail Blazers,N
31,"19,490",Box Score,"Sat, Nov 3, 2012",,8:30p,126,Dallas Mavericks,,99,Charlotte Bobcats,N
32,"17,086",Box Score,"Sat, Nov 3, 2012",,8:30p,105,Milwaukee Bucks,,102,Cleveland Cavaliers,N
33,"18,581",Box Score,"Sat, Nov 3, 2012",,8:30p,110,San Antonio Spurs,,100,Utah Jazz,N
34,"19,060",Box Score,"Sat, Nov 3, 2012",,10:30p,110,Los Angeles Clippers,,114,Golden State Warriors,N
35,"19,033",Box Score,"Sun, Nov 4, 2012",,12:00p,100,New York Knicks,,84,Philadelphia 76ers,N
36,"17,022",Box Score,"Sun, Nov 4, 2012",,6:00p,115,Orlando Magic,,94,Phoenix Suns,N
37,"16,754",Box Score,"Sun, Nov 4, 2012",,6:00p,105,Toronto Raptors,,86,Minnesota Timberwolves,N
38,"18,203",Box Score,"Sun, Nov 4, 2012",,7:00p,95,Oklahoma City Thunder,,104,Atlanta Hawks,N
39,"18,997",Box Score,"Sun, Nov 4, 2012",,9:30p,108,Los Angeles Lakers,,79,Detroit Pistons,N
40,"15,783",Box Score,"Mon, Nov 5, 2012",,7:00p,88,Philadelphia 76ers,,110,New York Knicks,N
41,"14,017",Box Score,"Mon, Nov 5, 2012",,7:30p,96,Brooklyn Nets,,107,Minnesota Timberwolves,N
42,"19,600",Box Score,"Mon, Nov 5, 2012",,7:30p,124,Miami Heat,,99,Phoenix Suns,N
43,"17,401",Box Score,"Mon, Nov 5, 2012",,8:00p,103,Memphis Grizzlies,,94,Utah Jazz,N
44,"19,521",Box Score,"Mon, Nov 5, 2012",,8:30p,114,Dallas Mavericks,,91,Portland Trail Blazers,N
45,"17,158",Box Score,"Mon, Nov 5, 2012",,8:30p,101,San Antonio Spurs,,79,Indiana Pacers,N
46,"17,317",Box Score,"Mon, Nov 5, 2012",,10:00p,94,Sacramento Kings,,92,Golden State Warriors,N
47,"19,060",Box Score,"Mon, Nov 5, 2012",,10:30p,101,Los Angeles Clippers,,108,Cleveland Cavaliers,N
48,"21,216",Box Score,"Tue, Nov 6, 2012",,8:00p,99,Chicago Bulls,,93,Orlando Magic,N
49,"18,203",Box Score,"Tue, Nov 6, 2012",,8:00p,108,Oklahoma City Thunder,,88,Toronto Raptors,N
50,"19,155",Box Score,"Tue, Nov 6, 2012",,9:00p,109,Denver Nuggets,,97,Detroit Pistons,N
51,"13,905",Box Score,"Wed, Nov 7, 2012",,7:00p,110,Charlotte Bobcats,,117,Phoenix Suns,N
52,"10,684",Box Score,"Wed, Nov 7, 2012",,7:30p,89,Atlanta Hawks,,86,Indiana Pacers,N
53,"18,624",Box Score,"Wed, Nov 7, 2012",,7:30p,100,Boston Celtics,OT,94,Washington Wizards,N
54,"19,627",Box Score,"Wed, Nov 7, 2012",,7:30p,103,Miami Heat,,73,Brooklyn Nets,N
55,"13,372",Box Score,"Wed, Nov 7, 2012",,8:00p,87,Houston Rockets,,93,Denver Nuggets,N
56,"11,465",Box Score,"Wed, Nov 7, 2012",,8:00p,90,Milwaukee Bucks,,108,Memphis Grizzlies,N
57,"17,121",Box Score,"Wed, Nov 7, 2012",,8:00p,90,Minnesota Timberwolves,,75,Orlando Magic,N
58,"12,988",Box Score,"Wed, Nov 7, 2012",,8:00p,62,New Orleans Hornets,,77,Philadelphia 76ers,N
59,"19,763",Box Score,"Wed, Nov 7, 2012",,8:30p,109,Dallas Mavericks,,104,Toronto Raptors,N
60,"19,911",Box Score,"Wed, Nov 7, 2012",,9:00p,95,Utah Jazz,,86,Los Angeles Lakers,N
61,"10,185",Box Score,"Wed, Nov 7, 2012",,10:00p,105,Sacramento Kings,,103,Detroit Pistons,N
62,"18,124",Box Score,"Wed, Nov 7, 2012",,10:30p,106,Golden State Warriors,,96,Cleveland Cavaliers,N
63,"19,060",Box Score,"Wed, Nov 7, 2012",,10:30p,106,Los Angeles Clippers,,84,San Antonio Spurs,N
64,"21,737",Box Score,"Thu, Nov 8, 2012",,8:00p,91,Chicago Bulls,,97,Oklahoma City Thunder,N
65,"20,425",Box Score,"Thu, Nov 8, 2012",,10:30p,90,Portland Trail Blazers,,103,Los Angeles Clippers,N
66,"17,532",Box Score,"Fri, Nov 9, 2012",,7:00p,68,Orlando Magic,,107,Brooklyn Nets,N
67,"14,531",Box Score,"Fri, Nov 9, 2012",,7:00p,91,Washington Wizards,,101,Milwaukee Bucks,N
68,"16,785",Box Score,"Fri, Nov 9, 2012",,7:30p,89,Atlanta Hawks,,95,Miami Heat,N
69,"18,624",Box Score,"Fri, Nov 9, 2012",,7:30p,100,Boston Celtics,,106,Philadelphia 76ers,N
70,"19,033",Box Score,"Fri, Nov 9, 2012",,7:30p,104,New York Knicks,,94,Dallas Mavericks,N
71,"16,087",Box Score,"Fri, Nov 9, 2012",,8:00p,93,Memphis Grizzlies,,85,Houston Rockets,N
72,"18,222",Box Score,"Fri, Nov 9, 2012",,8:00p,96,Minnesota Timberwolves,,94,Indiana Pacers,N
73,"12,668",Box Score,"Fri, Nov 9, 2012",,8:00p,107,New Orleans Hornets,,99,Charlotte Bobcats,N
74,"18,203",Box Score,"Fri, Nov 9, 2012",,8:00p,105,Oklahoma City Thunder,,94,Detroit Pistons,N
75,"15,236",Box Score,"Fri, Nov 9, 2012",,9:00p,107,Phoenix Suns,,105,Cleveland Cavaliers,N
76,"13,505",Box Score,"Fri, Nov 9, 2012",,10:00p,86,Sacramento Kings,,97,San Antonio Spurs,N
77,"15,523",Box Score,"Fri, Nov 9, 2012",,10:30p,104,Denver Nuggets,,84,Utah Jazz,N
78,"18,997",Box Score,"Fri, Nov 9, 2012",,10:30p,101,Los Angeles Lakers,,77,Golden State Warriors,N
79,"12,036",Box Score,"Sat, Nov 10, 2012",,7:00p,89,Indiana Pacers,,85,Washington Wizards,N
80,"19,800",Box Score,"Sat, Nov 10, 2012",,7:00p,83,Toronto Raptors,,93,Philadelphia 76ers,N
81,"15,763",Box Score,"Sat, Nov 10, 2012",,7:30p,101,Charlotte Bobcats,OT,97,Dallas Mavericks,N
82,"21,974",Box Score,"Sat, Nov 10, 2012",,8:00p,87,Chicago Bulls,,80,Minnesota Timberwolves,N
83,"15,037",Box Score,"Sat, Nov 10, 2012",,8:00p,96,Houston Rockets,,82,Detroit Pistons,N
84,"14,589",Box Score,"Sat, Nov 10, 2012",,8:30p,92,Milwaukee Bucks,,96,Boston Celtics,N
85,"19,100",Box Score,"Sat, Nov 10, 2012",,9:00p,94,Utah Jazz,,81,Phoenix Suns,N
86,"20,447",Box Score,"Sat, Nov 10, 2012",,10:00p,109,Portland Trail Blazers,,112,San Antonio Spurs,N
87,"19,596",Box Score,"Sat, Nov 10, 2012",,10:30p,101,Golden State Warriors,2OT,107,Denver Nuggets,N
88,"16,523",Box Score,"Sun, Nov 11, 2012",,3:00p,82,Brooklyn Nets,,74,Orlando Magic,N
89,"19,060",Box Score,"Sun, Nov 11, 2012",,3:30p,89,Los Angeles Clippers,,76,Atlanta Hawks,N
90,"18,119",Box Score,"Sun, Nov 11, 2012",,6:00p,104,Memphis Grizzlies,,86,Miami Heat,N
91,"18,203",Box Score,"Sun, Nov 11, 2012",,7:00p,106,Oklahoma City Thunder,,91,Cleveland Cavaliers,N
92,"18,997",Box Score,"Sun, Nov 11, 2012",,9:30p,103,Los Angeles Lakers,,90,Sacramento Kings,N
93,"15,086",Box Score,"Mon, Nov 12, 2012",,7:00p,96,Philadelphia 76ers,,105,Milwaukee Bucks,N
94,"18,230",Box Score,"Mon, Nov 12, 2012",,7:00p,133,Toronto Raptors,3OT,140,Utah Jazz,N
95,"12,784",Box Score,"Mon, Nov 12, 2012",,7:30p,90,Detroit Pistons,,92,Oklahoma City Thunder,N
96,"21,712",Box Score,"Mon, Nov 12, 2012",,8:00p,95,Chicago Bulls,,101,Boston Celtics,N
97,"18,041",Box Score,"Mon, Nov 12, 2012",,8:00p,110,Houston Rockets,,113,Miami Heat,N
98,"19,322",Box Score,"Mon, Nov 12, 2012",,8:30p,82,Dallas Mavericks,,90,Minnesota Timberwolves,N
99,"14,060",Box Score,"Mon, Nov 12, 2012",,9:00p,110,Phoenix Suns,,100,Denver Nuggets,N
100,"19,095",Box Score,"Mon, Nov 12, 2012",,10:00p,87,Portland Trail Blazers,,95,Atlanta Hawks,N
101,"11,139",Box Score,"Tue, Nov 13, 2012",,7:00p,92,Charlotte Bobcats,,76,Washington Wizards,N
102,"11,947",Box Score,"Tue, Nov 13, 2012",,7:00p,72,Indiana Pacers,,74,Toronto Raptors,N
103,"18,846",Box Score,"Tue, Nov 13, 2012",,7:00p,89,Orlando Magic,,99,New York Knicks,N
104,"17,032",Box Score,"Tue, Nov 13, 2012",,7:30p,114,Brooklyn Nets,,101,Cleveland Cavaliers,N
105,"10,153",Box Score,"Tue, Nov 13, 2012",,10:00p,86,Sacramento Kings,,103,Portland Trail Blazers,N
106,"18,997",Box Score,"Tue, Nov 13, 2012",,10:30p,82,Los Angeles Lakers,,84,San Antonio Spurs,N
107,"11,879",Box Score,"Wed, Nov 14, 2012",,7:00p,76,Philadelphia 76ers,,94,Detroit Pistons,N
108,"18,624",Box Score,"Wed, Nov 14, 2012",,7:30p,98,Boston Celtics,,93,Utah Jazz,N
109,"14,535",Box Score,"Wed, Nov 14, 2012",,8:00p,100,Houston Rockets,,96,New Orleans Hornets,N
110,"11,573",Box Score,"Wed, Nov 14, 2012",,8:00p,99,Milwaukee Bucks,,85,Indiana Pacers,N
111,"13,272",Box Score,"Wed, Nov 14, 2012",,8:00p,87,Minnesota Timberwolves,,89,Charlotte Bobcats,N
112,"18,203",Box Score,"Wed, Nov 14, 2012",,8:00p,97,Oklahoma City Thunder,,107,Memphis Grizzlies,N
113,"19,560",Box Score,"Wed, Nov 14, 2012",,8:30p,107,Dallas Mavericks,,101,Washington Wizards,N
114,"15,305",Box Score,"Wed, Nov 14, 2012",,9:00p,106,Phoenix Suns,OT,112,Chicago Bulls,N
115,"18,107",Box Score,"Wed, Nov 14, 2012",,10:30p,92,Golden State Warriors,,88,Atlanta Hawks,N
116,"19,146",Box Score,"Wed, Nov 14, 2012",,10:30p,107,Los Angeles Clippers,,100,Miami Heat,N
117,"17,732",Box Score,"Thu, Nov 15, 2012",,8:00p,102,Brooklyn Nets,,97,Boston Celtics,N
118,"18,581",Box Score,"Thu, Nov 15, 2012",,8:30p,100,San Antonio Spurs,,104,New York Knicks,N
119,"19,155",Box Score,"Thu, Nov 15, 2012",,10:30p,93,Denver Nuggets,,98,Miami Heat,N
120,"15,110",Box Score,"Fri, Nov 16, 2012",,7:00p,103,Indiana Pacers,,83,Dallas Mavericks,N
121,"15,851",Box Score,"Fri, Nov 16, 2012",,7:00p,99,Philadelphia 76ers,,93,Utah Jazz,N
122,"11,594",Box Score,"Fri, Nov 16, 2012",,7:30p,106,Detroit Pistons,,110,Orlando Magic,N
123,"16,013",Box Score,"Fri, Nov 16, 2012",,8:00p,98,Minnesota Timberwolves,,106,Golden State Warriors,N
124,"15,458",Box Score,"Fri, Nov 16, 2012",,8:00p,95,New Orleans Hornets,,110,Oklahoma City Thunder,N
125,"17,516",Box Score,"Fri, Nov 16, 2012",,9:30p,105,Memphis Grizzlies,,95,New York Knicks,N
126,"20,382",Box Score,"Fri, Nov 16, 2012",,10:00p,119,Portland Trail Blazers,OT,117,Houston Rockets,N
127,"11,814",Box Score,"Fri, Nov 16, 2012",,10:00p,96,Sacramento Kings,,112,Atlanta Hawks,N
