,attendance,box_score_text,game_date,game_remarks,game_start_time,team1_pts,team1_name,overtimes,team2_pts,team2_name,playoffs,season,location,date,home,Timezone,Lat,Long,Location,Timezone_home,Lat_home,Long_home,prev_game_date,prev_game_location,prev_game_lat,prev_game_long,prev_opponent,opp_prev_game_date,opp_prev_game_location,opp_prev_game_lat,opp_prev_game_long,2prev_game_location,2prev_game_lat,2prev_game_long,3prev_game_location,3prev_game_lat,3prev_game_long,4prev_game_location,4prev_game_lat,4prev_game_long,5prev_game_location,5prev_game_lat,5prev_game_long,6prev_game_location,6prev_game_lat,6prev_game_long,7prev_game_location,7prev_game_lat,7prev_game_long,8prev_game_location,8prev_game_lat,8prev_game_long,9prev_game_location,9prev_game_lat,9prev_game_long,10prev_game_location,10prev_game_lat,10prev_game_long,11prev_game_location,11prev_game_lat,11prev_game_long,game_of_trip,total_trip_distance,prev_game_timezone,rest,opp_rest,rest_diff,timezone_change,home_timezone_change,travel_distance,is_series_game2,won,won_prev_game,attendance_capacity
126,,Box Score,"Tue, Dec 29, 2020",,7:00p,115.0,Chicago Bulls,,107.0,Washington Wizards,N,2021,Washington Wizards,2020-12-29,N,1,38.9101,-77.0147,Chicago Bulls,2,41.881944,-87.627778,2020-12-27,Chicago Bulls,41.881944,-87.627778,Golden State Warriors,2020-12-27,Washington Wizards,38.9101,-77.0147,Chicago Bulls,41.881944,-87.627778,Chicago Bulls,41.881944,-87.627778,,,,,,,,,,,,,,,,,,,,,,,,,1.0,614.685818006326,2.0,2.0,2.0,0.0,-1.0,-1,614.685818006326,False,True,False,
127,,Box Score,"Tue, Dec 29, 2020",,7:00p,107.0,Washington Wizards,,115.0,Chicago Bulls,N,2021,Washington Wizards,2020-12-29,Y,1,38.9101,-77.0147,Washington Wizards,1,38.9101,-77.0147,2020-12-27,Washington Wizards,38.9101,-77.0147,Orlando Magic,2020-12-27,Chicago Bulls,41.881944,-87.627778,Washington Wizards,38.9101,-77.0147,Philadelphia 76ers,39.952778,-75.163611,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,0.0,0.0,0,0.0,False,False,False,
128,,Box Score,"Thu, Dec 31, 2020",,5:00p,133.0,Chicago Bulls,,130.0,Washington Wizards,N,2021,Washington Wizards,2020-12-31,N,1,38.9101,-77.0147,Chicago Bulls,2,41.881944,-87.627778,2020-12-29,Washington Wizards,38.9101,-77.0147,Washington Wizards,2020-12-29,Washington Wizards,38.9101,-77.0147,Chicago Bulls,41.881944,-87.627778,Chicago Bulls,41.881944,-87.627778,Chicago Bulls,41.881944,-87.627778,,,,,,,,,,,,,,,,,,,,,,2.0,614.685818006326,1.0,2.0,2.0,0.0,0.0,-1,0.0,True,True,True,
129,,Box Score,"Thu, Dec 31, 2020",,5:00p,130.0,Washington Wizards,,133.0,Chicago Bulls,N,2021,Washington Wizards,2020-12-31,Y,1,38.9101,-77.0147,Washington Wizards,1,38.9101,-77.0147,2020-12-29,Washington Wizards,38.9101,-77.0147,Chicago Bulls,2020-12-29,Washington Wizards,38.9101,-77.0147,Washington Wizards,38.9101,-77.0147,Washington Wizards,38.9101,-77.0147,Philadelphia 76ers,39.952778,-75.163611,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,0.0,0.0,0,0.0,True,False,False,
130,1932.0,Box Score,"Sat, Dec 26, 2020",,9:00p,116.0,Minnesota Timberwolves,,111.0,Utah Jazz,N,2021,Utah Jazz,2020-12-26,N,3,40.760833,-111.891111,Minnesota Timberwolves,2,44.981944,-93.269167,2020-12-23,Minnesota Timberwolves,44.981944,-93.269167,Detroit Pistons,2020-12-23,Portland Trail Blazers,45.52,-122.681944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1057.6519094430555,2.0,3.0,3.0,0.0,1.0,1,1057.6519094430555,False,True,True,1932.0
131,1932.0,Box Score,"Sat, Dec 26, 2020",,9:00p,111.0,Utah Jazz,,116.0,Minnesota Timberwolves,N,2021,Utah Jazz,2020-12-26,Y,3,40.760833,-111.891111,Utah Jazz,3,40.760833,-111.891111,2020-12-23,Portland Trail Blazers,45.52,-122.681944,Portland Trail Blazers,2020-12-23,Minnesota Timberwolves,44.981944,-93.269167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,3.0,0.0,-1.0,0,674.5128191413141,False,False,True,1932.0
132,1932.0,Box Score,"Thu, Dec 31, 2020",,9:00p,106.0,Phoenix Suns,,95.0,Utah Jazz,N,2021,Utah Jazz,2020-12-31,N,3,40.760833,-111.891111,Phoenix Suns,3,33.45,-112.066667,2020-12-29,Phoenix Suns,33.45,-112.066667,New Orleans Pelicans,2020-12-28,Oklahoma City Thunder,35.468611,-97.521389,Sacramento Kings,38.581667,-121.494444,Sacramento Kings,38.581667,-121.494444,Phoenix Suns,33.45,-112.066667,,,,,,,,,,,,,,,,,,,,,,1.0,504.5385378065635,3.0,2.0,3.0,-1.0,0.0,0,504.5385378065635,False,True,True,1932.0
133,1932.0,Box Score,"Thu, Dec 31, 2020",,9:00p,95.0,Utah Jazz,,106.0,Phoenix Suns,N,2021,Utah Jazz,2020-12-31,Y,3,40.760833,-111.891111,Utah Jazz,3,40.760833,-111.891111,2020-12-28,Oklahoma City Thunder,35.468611,-97.521389,Oklahoma City Thunder,2020-12-29,Phoenix Suns,33.45,-112.066667,Utah Jazz,40.760833,-111.891111,Portland Trail Blazers,45.52,-122.681944,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,2.0,1.0,1.0,0,865.4020619420139,False,False,True,1932.0
134,1932.0,Box Score,"Fri, Jan 1, 2021",,9:00p,100.0,Los Angeles Clippers,,106.0,Utah Jazz,N,2021,Utah Jazz,2021-01-01,N,3,40.760833,-111.891111,Los Angeles Clippers,4,34.05,-118.25,2020-12-30,Los Angeles Clippers,34.05,-118.25,Portland Trail Blazers,2020-12-31,Utah Jazz,40.760833,-111.891111,Los Angeles Clippers,34.05,-118.25,Los Angeles Clippers,34.05,-118.25,Denver Nuggets,39.739167,-104.990278,Los Angeles Lakers,34.05,-118.25,,,,,,,,,,,,,,,,,,,1.0,578.7551897453249,4.0,2.0,1.0,1.0,-1.0,-1,578.7551897453249,False,False,True,1932.0
135,1932.0,Box Score,"Fri, Jan 1, 2021",,9:00p,106.0,Utah Jazz,,100.0,Los Angeles Clippers,N,2021,Utah Jazz,2021-01-01,Y,3,40.760833,-111.891111,Utah Jazz,3,40.760833,-111.891111,2020-12-31,Utah Jazz,40.760833,-111.891111,Phoenix Suns,2020-12-30,Los Angeles Clippers,34.05,-118.25,Oklahoma City Thunder,35.468611,-97.521389,Utah Jazz,40.760833,-111.891111,Portland Trail Blazers,45.52,-122.681944,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,2.0,-1.0,0.0,0,0.0,False,True,False,1932.0
