,attendance,box_score_text,game_date,game_remarks,game_start_time,home_pts,home_team_name,overtimes,visitor_pts,visitor_team_name,playoffs
0,"18,624",Box Score,"Tue, Oct 16, 2018",,8:00p,105,Boston Celtics,,87,Philadelphia 76ers,N
1,"19,596",Box Score,"Tue, Oct 16, 2018",,10:30p,108,Golden State Warriors,,100,Oklahoma City Thunder,N
2,"17,889",Box Score,"Wed, Oct 17, 2018",,7:00p,112,Charlotte Hornets,,113,Milwaukee Bucks,N
3,"20,332",Box Score,"Wed, Oct 17, 2018",,7:00p,103,Detroit Pistons,,100,Brooklyn Nets,N
4,"17,923",Box Score,"Wed, Oct 17, 2018",,7:00p,111,Indiana Pacers,,83,Memphis Grizzlies,N
5,"19,191",Box Score,"Wed, Oct 17, 2018",,7:00p,104,Orlando Magic,,101,Miami Heat,N
6,"18,249",Box Score,"Wed, Oct 17, 2018",,7:30p,126,New York Knicks,,107,Atlanta Hawks,N
7,"19,915",Box Score,"Wed, Oct 17, 2018",,7:30p,116,Toronto Raptors,,104,Cleveland Cavaliers,N
8,"18,055",Box Score,"Wed, Oct 17, 2018",,8:00p,112,Houston Rockets,,131,New Orleans Pelicans,N
9,"18,354",Box Score,"Wed, Oct 17, 2018",,8:30p,112,San Antonio Spurs,,108,Minnesota Timberwolves,N
10,"17,583",Box Score,"Wed, Oct 17, 2018",,10:00p,117,Sacramento Kings,,123,Utah Jazz,N
11,"19,068",Box Score,"Wed, Oct 17, 2018",,10:30p,98,Los Angeles Clippers,,107,Denver Nuggets,N
12,"18,055",Box Score,"Wed, Oct 17, 2018",,10:30p,121,Phoenix Suns,,100,Dallas Mavericks,N
13,"20,302",Box Score,"Thu, Oct 18, 2018",,8:00p,127,Philadelphia 76ers,,108,Chicago Bulls,N
14,"20,409",Box Score,"Thu, Oct 18, 2018",,8:00p,112,Washington Wizards,,113,Miami Heat,N
15,"19,996",Box Score,"Thu, Oct 18, 2018",,10:30p,128,Portland Trail Blazers,,119,Los Angeles Lakers,N
16,"17,668",Box Score,"Fri, Oct 19, 2018",,7:00p,88,Orlando Magic,,120,Charlotte Hornets,N
17,"17,732",Box Score,"Fri, Oct 19, 2018",,7:30p,107,Brooklyn Nets,,105,New York Knicks,N
18,"17,019",Box Score,"Fri, Oct 19, 2018",,8:00p,131,Memphis Grizzlies,,117,Atlanta Hawks,N
19,"18,978",Box Score,"Fri, Oct 19, 2018",,8:00p,131,Minnesota Timberwolves,,123,Cleveland Cavaliers,N
20,"18,337",Box Score,"Fri, Oct 19, 2018",,8:00p,149,New Orleans Pelicans,,129,Sacramento Kings,N
21,"19,800",Box Score,"Fri, Oct 19, 2018",,8:00p,113,Toronto Raptors,,101,Boston Celtics,N
22,"17,341",Box Score,"Fri, Oct 19, 2018",,8:30p,118,Milwaukee Bucks,,101,Indiana Pacers,N
23,"14,816",Box Score,"Fri, Oct 19, 2018",,10:30p,108,Los Angeles Clippers,,92,Oklahoma City Thunder,N
24,"18,306",Box Score,"Fri, Oct 19, 2018",,10:30p,123,Utah Jazz,,124,Golden State Warriors,N
25,"17,007",Box Score,"Sat, Oct 20, 2018",,7:00p,132,Indiana Pacers,,112,Brooklyn Nets,N
26,"16,185",Box Score,"Sat, Oct 20, 2018",,7:00p,113,Washington Wizards,,117,Toronto Raptors,N
27,"19,427",Box Score,"Sat, Oct 20, 2018",,7:30p,101,New York Knicks,,103,Boston Celtics,N
28,"20,300",Box Score,"Sat, Oct 20, 2018",,7:30p,116,Philadelphia 76ers,,115,Orlando Magic,N
29,"21,289",Box Score,"Sat, Oct 20, 2018",,8:00p,116,Chicago Bulls,,118,Detroit Pistons,N
30,"19,600",Box Score,"Sat, Oct 20, 2018",,8:00p,112,Miami Heat,,113,Charlotte Hornets,N
31,"20,205",Box Score,"Sat, Oct 20, 2018",,8:30p,140,Dallas Mavericks,,136,Minnesota Timberwolves,N
32,"19,592",Box Score,"Sat, Oct 20, 2018",,9:00p,119,Denver Nuggets,,91,Phoenix Suns,N
33,"19,461",Box Score,"Sat, Oct 20, 2018",,10:00p,121,Portland Trail Blazers,,108,San Antonio Spurs,N
34,"18,997",Box Score,"Sat, Oct 20, 2018",,10:30p,115,Los Angeles Lakers,,124,Houston Rockets,N
35,"19,432",Box Score,"Sun, Oct 21, 2018",,6:00p,111,Cleveland Cavaliers,,133,Atlanta Hawks,N
36,"18,203",Box Score,"Sun, Oct 21, 2018",,7:00p,120,Oklahoma City Thunder,,131,Sacramento Kings,N
37,"19,520",Box Score,"Sun, Oct 21, 2018",,8:00p,100,Denver Nuggets,,98,Golden State Warriors,N
38,"16,149",Box Score,"Sun, Oct 21, 2018",,9:00p,115,Los Angeles Clippers,,112,Houston Rockets,N
39,"18,624",Box Score,"Mon, Oct 22, 2018",,7:30p,90,Boston Celtics,,93,Orlando Magic,N
40,"19,800",Box Score,"Mon, Oct 22, 2018",,7:30p,127,Toronto Raptors,,106,Charlotte Hornets,N
41,"16,228",Box Score,"Mon, Oct 22, 2018",,8:00p,124,Milwaukee Bucks,,113,New York Knicks,N
42,"10,371",Box Score,"Mon, Oct 22, 2018",,8:00p,101,Minnesota Timberwolves,,91,Indiana Pacers,N
43,"19,291",Box Score,"Mon, Oct 22, 2018",,8:30p,115,Dallas Mavericks,,109,Chicago Bulls,N
44,"18,306",Box Score,"Mon, Oct 22, 2018",,9:00p,84,Utah Jazz,,92,Memphis Grizzlies,N
45,"19,187",Box Score,"Mon, Oct 22, 2018",,10:00p,124,Portland Trail Blazers,OT,125,Washington Wizards,N
46,"19,596",Box Score,"Mon, Oct 22, 2018",,10:30p,123,Golden State Warriors,,103,Phoenix Suns,N
47,"18,997",Box Score,"Mon, Oct 22, 2018",,10:30p,142,Los Angeles Lakers,OT,143,San Antonio Spurs,N
48,"14,418",Box Score,"Tue, Oct 23, 2018",,7:00p,133,Detroit Pistons,OT,132,Philadelphia 76ers,N
49,"14,625",Box Score,"Tue, Oct 23, 2018",,8:00p,116,New Orleans Pelicans,,109,Los Angeles Clippers,N
50,"13,214",Box Score,"Tue, Oct 23, 2018",,9:00p,126,Denver Nuggets,,112,Sacramento Kings,N
51,"16,705",Box Score,"Wed, Oct 24, 2018",,7:00p,111,Atlanta Hawks,,104,Dallas Mavericks,N
52,"19,432",Box Score,"Wed, Oct 24, 2018",,7:00p,86,Cleveland Cavaliers,,102,Brooklyn Nets,N
53,"19,600",Box Score,"Wed, Oct 24, 2018",,7:30p,110,Miami Heat,,87,New York Knicks,N
54,"19,800",Box Score,"Wed, Oct 24, 2018",,7:30p,112,Toronto Raptors,,105,Minnesota Timberwolves,N
55,"19,170",Box Score,"Wed, Oct 24, 2018",,8:00p,112,Chicago Bulls,,110,Charlotte Hornets,N
56,"18,055",Box Score,"Wed, Oct 24, 2018",,8:00p,89,Houston Rockets,,100,Utah Jazz,N
57,"18,354",Box Score,"Wed, Oct 24, 2018",,8:30p,96,San Antonio Spurs,,116,Indiana Pacers,N
58,"17,341",Box Score,"Wed, Oct 24, 2018",,9:30p,123,Milwaukee Bucks,,108,Philadelphia 76ers,N
59,"18,055",Box Score,"Wed, Oct 24, 2018",,10:00p,113,Phoenix Suns,,131,Los Angeles Lakers,N
