,attendance,box_score_text,game_date,game_remarks,game_start_time,home_pts,home_team_name,overtimes,visitor_pts,visitor_team_name,playoffs
0,"17,732",Box Score,"Fri, Nov 1, 2019",,7:00p,123,Brooklyn Nets,,116,Houston Rockets,N
1,"16,079",Box Score,"Fri, Nov 1, 2019",,7:00p,102,Indiana Pacers,,95,Cleveland Cavaliers,N
2,"15,105",Box Score,"Fri, Nov 1, 2019",,7:00p,91,Orlando Magic,,123,Milwaukee Bucks,N
3,"18,624",Box Score,"Fri, Nov 1, 2019",,7:30p,104,Boston Celtics,,102,New York Knicks,N
4,"20,671",Box Score,"Fri, Nov 1, 2019",,8:00p,112,Chicago Bulls,,106,Detroit Pistons,N
5,"20,358",Box Score,"Fri, Nov 1, 2019",,9:30p,110,Dallas Mavericks,OT,119,Los Angeles Lakers,N
6,"16,273",Box Score,"Fri, Nov 1, 2019",,10:00p,102,Sacramento Kings,,101,Utah Jazz,N
7,"18,064",Box Score,"Fri, Nov 1, 2019",,10:30p,110,Golden State Warriors,,127,San Antonio Spurs,N
8,"18,203",Box Score,"Sat, Nov 2, 2019",,5:00p,115,Oklahoma City Thunder,,104,New Orleans Pelicans,N
9,"17,222",Box Score,"Sat, Nov 2, 2019",,7:00p,113,Detroit Pistons,,109,Brooklyn Nets,N
10,"17,025",Box Score,"Sat, Nov 2, 2019",,7:00p,87,Orlando Magic,,91,Denver Nuggets,N
11,"14,144",Box Score,"Sat, Nov 2, 2019",,8:00p,105,Memphis Grizzlies,,114,Phoenix Suns,N
12,"17,637",Box Score,"Sat, Nov 2, 2019",,8:00p,115,Milwaukee Bucks,,105,Toronto Raptors,N
13,"15,150",Box Score,"Sat, Nov 2, 2019",,8:00p,109,Washington Wizards,,131,Minnesota Timberwolves,N
14,"18,064",Box Score,"Sat, Nov 2, 2019",,8:30p,87,Golden State Warriors,,93,Charlotte Hornets,N
15,"19,669",Box Score,"Sat, Nov 2, 2019",,10:00p,128,Portland Trail Blazers,,129,Philadelphia 76ers,N
16,"17,073",Box Score,"Sun, Nov 3, 2019",,5:00p,108,Indiana Pacers,,95,Chicago Bulls,N
17,"19,724",Box Score,"Sun, Nov 3, 2019",,6:00p,129,Miami Heat,,100,Houston Rockets,N
18,"19,812",Box Score,"Sun, Nov 3, 2019",,6:00p,92,New York Knicks,,113,Sacramento Kings,N
19,"18,610",Box Score,"Sun, Nov 3, 2019",,7:00p,96,San Antonio Spurs,,103,Los Angeles Lakers,N
20,"18,078",Box Score,"Sun, Nov 3, 2019",,7:30p,111,Cleveland Cavaliers,,131,Dallas Mavericks,N
21,"19,068",Box Score,"Sun, Nov 3, 2019",,9:00p,105,Los Angeles Clippers,,94,Utah Jazz,N
22,"13,052",Box Score,"Mon, Nov 4, 2019",,7:00p,115,Washington Wizards,,99,Detroit Pistons,N
23,"17,194",Box Score,"Mon, Nov 4, 2019",,7:30p,135,Brooklyn Nets,,125,New Orleans Pelicans,N
24,"14,197",Box Score,"Mon, Nov 4, 2019",,8:00p,100,Memphis Grizzlies,,107,Houston Rockets,N
25,"16,271",Box Score,"Mon, Nov 4, 2019",,8:00p,106,Minnesota Timberwolves,,134,Milwaukee Bucks,N
26,"14,285",Box Score,"Mon, Nov 4, 2019",,9:00p,114,Phoenix Suns,,109,Philadelphia 76ers,N
27,"18,064",Box Score,"Mon, Nov 4, 2019",,10:30p,127,Golden State Warriors,,118,Portland Trail Blazers,N
28,"13,341",Box Score,"Tue, Nov 5, 2019",,7:00p,122,Charlotte Hornets,OT,120,Indiana Pacers,N
29,"17,709",Box Score,"Tue, Nov 5, 2019",,7:00p,113,Cleveland Cavaliers,,119,Boston Celtics,N
30,"14,025",Box Score,"Tue, Nov 5, 2019",,7:30p,108,Atlanta Hawks,,100,San Antonio Spurs,N
31,"21,193",Box Score,"Tue, Nov 5, 2019",,8:00p,112,Chicago Bulls,,118,Los Angeles Lakers,N
32,"18,203",Box Score,"Tue, Nov 5, 2019",,8:00p,102,Oklahoma City Thunder,,94,Orlando Magic,N
33,"18,010",Box Score,"Tue, Nov 5, 2019",,9:00p,109,Denver Nuggets,,89,Miami Heat,N
34,"15,463",Box Score,"Wed, Nov 6, 2019",,7:00p,122,Detroit Pistons,,102,New York Knicks,N
35,"16,171",Box Score,"Wed, Nov 6, 2019",,7:00p,121,Indiana Pacers,,106,Washington Wizards,N
36,"15,049",Box Score,"Wed, Nov 6, 2019",,7:30p,93,Atlanta Hawks,,113,Chicago Bulls,N
37,"18,055",Box Score,"Wed, Nov 6, 2019",,7:30p,129,Houston Rockets,,112,Golden State Warriors,N
38,"19,800",Box Score,"Wed, Nov 6, 2019",,7:30p,124,Toronto Raptors,,120,Sacramento Kings,N
39,"13,503",Box Score,"Wed, Nov 6, 2019",,8:00p,137,Memphis Grizzlies,,121,Minnesota Timberwolves,N
40,"19,487",Box Score,"Wed, Nov 6, 2019",,8:30p,107,Dallas Mavericks,,106,Orlando Magic,N
41,"18,306",Box Score,"Wed, Nov 6, 2019",,9:00p,106,Utah Jazz,,104,Philadelphia 76ers,N
42,"19,068",Box Score,"Wed, Nov 6, 2019",,10:00p,124,Los Angeles Clippers,,129,Milwaukee Bucks,N
43,"18,487",Box Score,"Thu, Nov 7, 2019",,8:00p,87,Charlotte Hornets,,108,Boston Celtics,N
44,"18,354",Box Score,"Thu, Nov 7, 2019",,8:30p,121,San Antonio Spurs,,112,Oklahoma City Thunder,N
45,"15,498",Box Score,"Thu, Nov 7, 2019",,9:00p,108,Phoenix Suns,,124,Miami Heat,N
46,"19,068",Box Score,"Thu, Nov 7, 2019",,10:30p,107,Los Angeles Clippers,,101,Portland Trail Blazers,N
47,"15,544",Box Score,"Fri, Nov 8, 2019",,7:00p,112,Indiana Pacers,,106,Detroit Pistons,N
48,"17,021",Box Score,"Fri, Nov 8, 2019",,7:00p,118,Orlando Magic,,86,Memphis Grizzlies,N
49,"16,946",Box Score,"Fri, Nov 8, 2019",,7:00p,100,Washington Wizards,,113,Cleveland Cavaliers,N
50,"16,447",Box Score,"Fri, Nov 8, 2019",,7:30p,109,Atlanta Hawks,,121,Sacramento Kings,N
51,"15,647",Box Score,"Fri, Nov 8, 2019",,8:00p,125,Minnesota Timberwolves,OT,119,Golden State Warriors,N
52,"16,337",Box Score,"Fri, Nov 8, 2019",,8:00p,104,New Orleans Pelicans,,122,Toronto Raptors,N
53,"20,257",Box Score,"Fri, Nov 8, 2019",,8:30p,102,Dallas Mavericks,,106,New York Knicks,N
54,"19,520",Box Score,"Fri, Nov 8, 2019",,9:00p,100,Denver Nuggets,,97,Philadelphia 76ers,N
55,"18,306",Box Score,"Fri, Nov 8, 2019",,9:00p,103,Utah Jazz,,100,Milwaukee Bucks,N
56,"20,089",Box Score,"Fri, Nov 8, 2019",,10:00p,115,Portland Trail Blazers,,119,Brooklyn Nets,N
57,"18,997",Box Score,"Fri, Nov 8, 2019",,10:30p,95,Los Angeles Lakers,,80,Miami Heat,N
58,"18,354",Box Score,"Sat, Nov 9, 2019",,5:00p,115,San Antonio Spurs,,135,Boston Celtics,N
59,"18,513",Box Score,"Sat, Nov 9, 2019",,7:00p,110,Charlotte Hornets,,115,New Orleans Pelicans,N
60,"20,482",Box Score,"Sat, Nov 9, 2019",,8:00p,94,Chicago Bulls,,117,Houston Rockets,N
61,"15,753",Box Score,"Sat, Nov 9, 2019",,8:00p,122,Memphis Grizzlies,,138,Dallas Mavericks,N
62,"18,203",Box Score,"Sat, Nov 9, 2019",,8:00p,114,Oklahoma City Thunder,,108,Golden State Warriors,N
63,"13,553",Box Score,"Sun, Nov 10, 2019",,3:30p,98,Minnesota Timberwolves,OT,100,Denver Nuggets,N
64,"17,118",Box Score,"Sun, Nov 10, 2019",,6:00p,102,Orlando Magic,,109,Indiana Pacers,N
65,"20,311",Box Score,"Sun, Nov 10, 2019",,6:00p,114,Philadelphia 76ers,,106,Charlotte Hornets,N
66,"18,203",Box Score,"Sun, Nov 10, 2019",,7:00p,119,Oklahoma City Thunder,,121,Milwaukee Bucks,N
67,"19,812",Box Score,"Sun, Nov 10, 2019",,7:30p,87,New York Knicks,,108,Cleveland Cavaliers,N
68,"17,290",Box Score,"Sun, Nov 10, 2019",,8:00p,138,Phoenix Suns,,112,Brooklyn Nets,N
69,"20,041",Box Score,"Sun, Nov 10, 2019",,9:00p,124,Portland Trail Blazers,OT,113,Atlanta Hawks,N
70,"18,997",Box Score,"Sun, Nov 10, 2019",,9:30p,104,Los Angeles Lakers,,113,Toronto Raptors,N
71,"12,526",Box Score,"Mon, Nov 11, 2019",,7:00p,114,Detroit Pistons,,120,Minnesota Timberwolves,N
72,"18,624",Box Score,"Mon, Nov 11, 2019",,7:30p,116,Boston Celtics,,106,Dallas Mavericks,N
73,"18,627",Box Score,"Mon, Nov 11, 2019",,7:30p,109,San Antonio Spurs,,113,Memphis Grizzlies,N
