,attendance,box_score_text,game_date,game_remarks,game_start_time,home_pts,home_team_name,overtimes,visitor_pts,visitor_team_name,playoffs
0,"18,165",Box Score,"Tue, Oct 29, 2013",,7:00p,97,Indiana Pacers,,87,Orlando Magic,N
1,"19,964",Box Score,"Tue, Oct 29, 2013",,8:00p,107,Miami Heat,,95,Chicago Bulls,N
2,"18,997",Box Score,"Tue, Oct 29, 2013",,10:30p,116,Los Angeles Lakers,,103,Los Angeles Clippers,N
3,"20,562",Box Score,"Wed, Oct 30, 2013",,7:00p,98,Cleveland Cavaliers,,94,Brooklyn Nets,N
4,"20,155",Box Score,"Wed, Oct 30, 2013",,7:00p,93,Toronto Raptors,,87,Boston Celtics,N
5,"19,523",Box Score,"Wed, Oct 30, 2013",,7:00p,114,Philadelphia 76ers,,110,Miami Heat,N
6,"19,258",Box Score,"Wed, Oct 30, 2013",,7:30p,113,Detroit Pistons,,102,Washington Wizards,N
7,"19,812",Box Score,"Wed, Oct 30, 2013",,7:30p,90,New York Knicks,,83,Milwaukee Bucks,N
8,"17,803",Box Score,"Wed, Oct 30, 2013",,8:00p,90,New Orleans Pelicans,,95,Indiana Pacers,N
9,"17,988",Box Score,"Wed, Oct 30, 2013",,8:00p,120,Minnesota Timberwolves,OT,115,Orlando Magic,N
10,"18,083",Box Score,"Wed, Oct 30, 2013",,8:00p,96,Houston Rockets,,83,Charlotte Bobcats,N
11,"18,581",Box Score,"Wed, Oct 30, 2013",,8:30p,101,San Antonio Spurs,,94,Memphis Grizzlies,N
12,"19,834",Box Score,"Wed, Oct 30, 2013",,8:30p,118,Dallas Mavericks,,109,Atlanta Hawks,N
13,"19,911",Box Score,"Wed, Oct 30, 2013",,9:00p,98,Utah Jazz,,101,Oklahoma City Thunder,N
14,"17,208",Box Score,"Wed, Oct 30, 2013",,10:00p,104,Phoenix Suns,,91,Portland Trail Blazers,N
15,"17,317",Box Score,"Wed, Oct 30, 2013",,10:00p,90,Sacramento Kings,,88,Denver Nuggets,N
16,"19,596",Box Score,"Wed, Oct 30, 2013",,10:30p,125,Golden State Warriors,,94,Los Angeles Lakers,N
17,"22,022",Box Score,"Thu, Oct 31, 2013",,8:00p,82,Chicago Bulls,,81,New York Knicks,N
18,"19,060",Box Score,"Thu, Oct 31, 2013",,10:30p,126,Los Angeles Clippers,,115,Golden State Warriors,N
19,"18,017",Box Score,"Fri, Nov 1, 2013",,7:00p,90,Charlotte Bobcats,,84,Cleveland Cavaliers,N
20,"18,846",Box Score,"Fri, Nov 1, 2013",,7:00p,110,Orlando Magic,,90,New Orleans Pelicans,N
21,"17,160",Box Score,"Fri, Nov 1, 2013",,7:00p,102,Washington Wizards,,109,Philadelphia 76ers,N
22,"18,118",Box Score,"Fri, Nov 1, 2013",,7:30p,102,Atlanta Hawks,,95,Toronto Raptors,N
23,"18,624",Box Score,"Fri, Nov 1, 2013",,7:30p,98,Boston Celtics,,105,Milwaukee Bucks,N
24,"17,732",Box Score,"Fri, Nov 1, 2013",,8:00p,101,Brooklyn Nets,,100,Miami Heat,N
25,"18,142",Box Score,"Fri, Nov 1, 2013",,8:00p,113,Houston Rockets,,105,Dallas Mavericks,N
26,"18,119",Box Score,"Fri, Nov 1, 2013",,8:00p,111,Memphis Grizzlies,OT,108,Detroit Pistons,N
27,"17,433",Box Score,"Fri, Nov 1, 2013",,8:00p,100,Minnesota Timberwolves,,81,Oklahoma City Thunder,N
28,"19,155",Box Score,"Fri, Nov 1, 2013",,9:00p,98,Denver Nuggets,,113,Portland Trail Blazers,N
29,"14,662",Box Score,"Fri, Nov 1, 2013",,10:00p,87,Phoenix Suns,,84,Utah Jazz,N
30,"17,317",Box Score,"Fri, Nov 1, 2013",,10:00p,101,Sacramento Kings,,110,Los Angeles Clippers,N
31,"18,997",Box Score,"Fri, Nov 1, 2013",,10:30p,85,Los Angeles Lakers,,91,San Antonio Spurs,N
32,"16,242",Box Score,"Sat, Nov 2, 2013",,7:00p,89,Indiana Pacers,,74,Cleveland Cavaliers,N
33,"15,782",Box Score,"Sat, Nov 2, 2013",,7:30p,107,Philadelphia 76ers,,104,Chicago Bulls,N
34,"15,232",Box Score,"Sat, Nov 2, 2013",,8:00p,105,New Orleans Pelicans,,84,Charlotte Bobcats,N
35,"20,262",Box Score,"Sat, Nov 2, 2013",,8:30p,111,Dallas Mavericks,,99,Memphis Grizzlies,N
36,"16,046",Box Score,"Sat, Nov 2, 2013",,8:30p,90,Milwaukee Bucks,,97,Toronto Raptors,N
37,"19,498",Box Score,"Sat, Nov 2, 2013",,9:00p,93,Utah Jazz,,104,Houston Rockets,N
38,"20,028",Box Score,"Sat, Nov 2, 2013",,10:00p,115,Portland Trail Blazers,,105,San Antonio Spurs,N
39,"19,596",Box Score,"Sat, Nov 2, 2013",,10:30p,98,Golden State Warriors,,87,Sacramento Kings,N
40,"14,978",Box Score,"Sun, Nov 3, 2013",,6:00p,87,Detroit Pistons,,77,Boston Celtics,N
41,"19,600",Box Score,"Sun, Nov 3, 2013",,6:00p,103,Miami Heat,,93,Washington Wizards,N
42,"15,297",Box Score,"Sun, Nov 3, 2013",,6:00p,107,Orlando Magic,,86,Brooklyn Nets,N
43,"18,203",Box Score,"Sun, Nov 3, 2013",,7:00p,103,Oklahoma City Thunder,,96,Phoenix Suns,N
44,"19,812",Box Score,"Sun, Nov 3, 2013",,7:30p,100,New York Knicks,,109,Minnesota Timberwolves,N
45,"18,997",Box Score,"Sun, Nov 3, 2013",,9:30p,105,Los Angeles Lakers,,103,Atlanta Hawks,N
46,"17,892",Box Score,"Mon, Nov 4, 2013",,7:00p,93,Cleveland Cavaliers,,92,Minnesota Timberwolves,N
47,"11,089",Box Score,"Mon, Nov 4, 2013",,7:00p,90,Philadelphia 76ers,,110,Golden State Warriors,N
48,"15,872",Box Score,"Mon, Nov 4, 2013",,8:00p,95,Memphis Grizzlies,,88,Boston Celtics,N
49,"19,404",Box Score,"Mon, Nov 4, 2013",,10:30p,137,Los Angeles Clippers,,118,Houston Rockets,N
50,"18,470",Box Score,"Tue, Nov 5, 2013",,7:00p,95,Toronto Raptors,,104,Miami Heat,N
51,"17,732",Box Score,"Tue, Nov 5, 2013",,7:30p,104,Brooklyn Nets,,88,Utah Jazz,N
52,"13,401",Box Score,"Tue, Nov 5, 2013",,7:30p,91,Detroit Pistons,,99,Indiana Pacers,N
53,"19,812",Box Score,"Tue, Nov 5, 2013",,7:30p,97,New York Knicks,,102,Charlotte Bobcats,N
54,"13,404",Box Score,"Tue, Nov 5, 2013",,8:00p,98,New Orleans Pelicans,,104,Phoenix Suns,N
55,"19,670",Box Score,"Tue, Nov 5, 2013",,8:30p,123,Dallas Mavericks,,104,Los Angeles Lakers,N
56,"15,721",Box Score,"Tue, Nov 5, 2013",,9:00p,94,Denver Nuggets,,102,San Antonio Spurs,N
57,"17,491",Box Score,"Tue, Nov 5, 2013",,10:00p,101,Portland Trail Blazers,,116,Houston Rockets,N
58,"13,506",Box Score,"Tue, Nov 5, 2013",,10:00p,100,Sacramento Kings,,105,Atlanta Hawks,N
59,"11,118",Box Score,"Wed, Nov 6, 2013",,7:00p,92,Charlotte Bobcats,,90,Toronto Raptors,N
60,"18,165",Box Score,"Wed, Nov 6, 2013",,7:00p,97,Indiana Pacers,,80,Chicago Bulls,N
61,"15,807",Box Score,"Wed, Nov 6, 2013",,7:00p,98,Orlando Magic,,90,Los Angeles Clippers,N
62,"10,117",Box Score,"Wed, Nov 6, 2013",,7:00p,102,Philadelphia 76ers,,116,Washington Wizards,N
63,"17,130",Box Score,"Wed, Nov 6, 2013",,7:30p,97,Boston Celtics,,87,Utah Jazz,N
64,"15,209",Box Score,"Wed, Nov 6, 2013",,8:00p,84,Memphis Grizzlies,,99,New Orleans Pelicans,N
65,"14,340",Box Score,"Wed, Nov 6, 2013",,8:00p,109,Milwaukee Bucks,,104,Cleveland Cavaliers,N
