,attendance,box_score_text,game_date,game_remarks,game_start_time,home_pts,home_team_name,overtimes,visitor_pts,visitor_team_name,playoffs
0,"17,097",Box Score,"Tue, Oct 28, 2014",,8:00p,101,New Orleans Pelicans,,84,Orlando Magic,N
1,"19,615",Box Score,"Tue, Oct 28, 2014",,8:00p,101,San Antonio Spurs,,100,Dallas Mavericks,N
2,"18,997",Box Score,"Tue, Oct 28, 2014",,10:30p,90,Los Angeles Lakers,,108,Houston Rockets,N
3,"19,439",Box Score,"Wed, Oct 29, 2014",,7:00p,108,Charlotte Hornets,OT,106,Milwaukee Bucks,N
4,"18,165",Box Score,"Wed, Oct 29, 2014",,7:00p,103,Indiana Pacers,,91,Philadelphia 76ers,N
5,"19,800",Box Score,"Wed, Oct 29, 2014",,7:30p,109,Toronto Raptors,,102,Atlanta Hawks,N
6,"19,744",Box Score,"Wed, Oct 29, 2014",,7:30p,107,Miami Heat,,95,Washington Wizards,N
7,"18,624",Box Score,"Wed, Oct 29, 2014",,7:30p,121,Boston Celtics,,105,Brooklyn Nets,N
8,"19,812",Box Score,"Wed, Oct 29, 2014",,8:00p,80,New York Knicks,,104,Chicago Bulls,N
9,"17,731",Box Score,"Wed, Oct 29, 2014",,8:00p,105,Memphis Grizzlies,,101,Minnesota Timberwolves,N
10,"17,136",Box Score,"Wed, Oct 29, 2014",,9:00p,89,Denver Nuggets,,79,Detroit Pistons,N
11,"19,911",Box Score,"Wed, Oct 29, 2014",,9:00p,93,Utah Jazz,,104,Houston Rockets,N
12,"17,523",Box Score,"Wed, Oct 29, 2014",,10:00p,119,Phoenix Suns,,99,Los Angeles Lakers,N
13,"17,317",Box Score,"Wed, Oct 29, 2014",,10:00p,77,Sacramento Kings,,95,Golden State Warriors,N
14,"19,441",Box Score,"Wed, Oct 29, 2014",,10:30p,106,Portland Trail Blazers,,89,Oklahoma City Thunder,N
15,"18,846",Box Score,"Thu, Oct 30, 2014",,7:00p,98,Orlando Magic,,105,Washington Wizards,N
16,"20,562",Box Score,"Thu, Oct 30, 2014",,8:00p,90,Cleveland Cavaliers,,95,New York Knicks,N
17,"18,296",Box Score,"Thu, Oct 30, 2014",,8:00p,97,Minnesota Timberwolves,,91,Detroit Pistons,N
18,"19,697",Box Score,"Thu, Oct 30, 2014",,8:30p,120,Dallas Mavericks,,102,Utah Jazz,N
19,"19,060",Box Score,"Thu, Oct 30, 2014",,10:30p,93,Los Angeles Clippers,,90,Oklahoma City Thunder,N
20,"14,441",Box Score,"Fri, Oct 31, 2014",,7:00p,89,Indiana Pacers,,97,Memphis Grizzlies,N
21,"22,879",Box Score,"Fri, Oct 31, 2014",,8:00p,108,Chicago Bulls,OT,114,Cleveland Cavaliers,N
22,"18,717",Box Score,"Fri, Oct 31, 2014",,8:30p,93,Milwaukee Bucks,,81,Philadelphia 76ers,N
23,"15,050",Box Score,"Fri, Oct 31, 2014",,10:00p,94,Phoenix Suns,,89,San Antonio Spurs,N
24,"14,648",Box Score,"Fri, Oct 31, 2014",,10:00p,103,Sacramento Kings,,94,Portland Trail Blazers,N
25,"18,997",Box Score,"Fri, Oct 31, 2014",,10:30p,111,Los Angeles Lakers,,118,Los Angeles Clippers,N
26,"18,133",Box Score,"Sat, Nov 1, 2014",,7:00p,69,Charlotte Hornets,,71,Memphis Grizzlies,N
27,"14,547",Box Score,"Sat, Nov 1, 2014",,7:00p,104,New Orleans Pelicans,,109,Dallas Mavericks,N
28,"16,141",Box Score,"Sat, Nov 1, 2014",,7:00p,95,Orlando Magic,,108,Toronto Raptors,N
29,"19,753",Box Score,"Sat, Nov 1, 2014",,7:00p,96,Philadelphia 76ers,,114,Miami Heat,N
30,"17,992",Box Score,"Sat, Nov 1, 2014",,7:00p,108,Washington Wizards,,97,Milwaukee Bucks,N
31,"19,118",Box Score,"Sat, Nov 1, 2014",,7:30p,102,Atlanta Hawks,,92,Indiana Pacers,N
32,"19,904",Box Score,"Sat, Nov 1, 2014",,7:30p,90,Detroit Pistons,,102,Brooklyn Nets,N
33,"18,309",Box Score,"Sat, Nov 1, 2014",,8:00p,104,Houston Rockets,,90,Boston Celtics,N
34,"19,356",Box Score,"Sat, Nov 1, 2014",,8:00p,105,Minnesota Timberwolves,,106,Chicago Bulls,N
35,"18,203",Box Score,"Sat, Nov 1, 2014",,8:00p,102,Oklahoma City Thunder,,91,Denver Nuggets,N
36,"17,721",Box Score,"Sat, Nov 1, 2014",,9:00p,118,Utah Jazz,,91,Phoenix Suns,N
37,"19,596",Box Score,"Sat, Nov 1, 2014",,10:30p,127,Golden State Warriors,,104,Los Angeles Lakers,N
38,"19,060",Box Score,"Sun, Nov 2, 2014",,3:30p,92,Los Angeles Clippers,,98,Sacramento Kings,N
39,"19,666",Box Score,"Sun, Nov 2, 2014",,6:00p,107,Miami Heat,,102,Toronto Raptors,N
40,"19,812",Box Score,"Sun, Nov 2, 2014",,7:30p,96,New York Knicks,,93,Charlotte Hornets,N
41,"19,441",Box Score,"Sun, Nov 2, 2014",,9:00p,90,Portland Trail Blazers,,95,Golden State Warriors,N
42,"12,896",Box Score,"Mon, Nov 3, 2014",,7:00p,93,Philadelphia 76ers,,104,Houston Rockets,N
43,"17,732",Box Score,"Mon, Nov 3, 2014",,7:30p,116,Brooklyn Nets,,85,Oklahoma City Thunder,N
44,"15,302",Box Score,"Mon, Nov 3, 2014",,8:00p,93,Memphis Grizzlies,,81,New Orleans Pelicans,N
45,"19,948",Box Score,"Mon, Nov 3, 2014",,8:30p,118,Dallas Mavericks,,113,Boston Celtics,N
46,"12,516",Box Score,"Mon, Nov 3, 2014",,9:00p,105,Denver Nuggets,,110,Sacramento Kings,N
47,"19,060",Box Score,"Mon, Nov 3, 2014",,10:30p,107,Los Angeles Clippers,,101,Utah Jazz,N
48,"15,012",Box Score,"Tue, Nov 4, 2014",,7:00p,81,Indiana Pacers,,87,Milwaukee Bucks,N
49,"19,666",Box Score,"Tue, Nov 4, 2014",,7:30p,91,Miami Heat,,108,Houston Rockets,N
50,"19,812",Box Score,"Tue, Nov 4, 2014",,7:30p,83,New York Knicks,,98,Washington Wizards,N
51,"18,877",Box Score,"Tue, Nov 4, 2014",,7:30p,100,Toronto Raptors,,88,Oklahoma City Thunder,N
52,"21,809",Box Score,"Tue, Nov 4, 2014",,8:00p,98,Chicago Bulls,,90,Orlando Magic,N
53,"14,840",Box Score,"Tue, Nov 4, 2014",,8:00p,100,New Orleans Pelicans,,91,Charlotte Hornets,N
54,"19,441",Box Score,"Tue, Nov 4, 2014",,10:00p,101,Portland Trail Blazers,,82,Cleveland Cavaliers,N
55,"18,997",Box Score,"Tue, Nov 4, 2014",,10:30p,106,Los Angeles Lakers,,112,Phoenix Suns,N
56,"15,874",Box Score,"Wed, Nov 5, 2014",,7:00p,96,Charlotte Hornets,,89,Miami Heat,N
57,"12,111",Box Score,"Wed, Nov 5, 2014",,7:00p,89,Philadelphia 76ers,,91,Orlando Magic,N
58,"16,249",Box Score,"Wed, Nov 5, 2014",,7:30p,107,Boston Celtics,,110,Toronto Raptors,N
59,"16,302",Box Score,"Wed, Nov 5, 2014",,7:30p,91,Brooklyn Nets,,98,Minnesota Timberwolves,N
60,"11,915",Box Score,"Wed, Nov 5, 2014",,7:30p,98,Detroit Pistons,,95,New York Knicks,N
61,"13,098",Box Score,"Wed, Nov 5, 2014",,8:00p,86,Milwaukee Bucks,,95,Chicago Bulls,N
62,"15,268",Box Score,"Wed, Nov 5, 2014",,8:00p,96,Washington Wizards,OT,94,Indiana Pacers,N
63,"18,581",Box Score,"Wed, Nov 5, 2014",,8:30p,94,San Antonio Spurs,,92,Atlanta Hawks,N
64,"15,377",Box Score,"Wed, Nov 5, 2014",,9:00p,91,Phoenix Suns,,102,Memphis Grizzlies,N
65,"19,911",Box Score,"Wed, Nov 5, 2014",,9:00p,102,Utah Jazz,,100,Cleveland Cavaliers,N
66,"14,539",Box Score,"Wed, Nov 5, 2014",,10:00p,131,Sacramento Kings,,109,Denver Nuggets,N
67,"19,596",Box Score,"Wed, Nov 5, 2014",,10:30p,121,Golden State Warriors,,104,Los Angeles Clippers,N
68,"18,311",Box Score,"Thu, Nov 6, 2014",,8:00p,98,Houston Rockets,,81,San Antonio Spurs,N
69,"19,441",Box Score,"Thu, Nov 6, 2014",,10:30p,108,Portland Trail Blazers,,87,Dallas Mavericks,N
70,"15,891",Box Score,"Fri, Nov 7, 2014",,7:00p,122,Charlotte Hornets,2OT,119,Atlanta Hawks,N
71,"16,379",Box Score,"Fri, Nov 7, 2014",,7:00p,112,Orlando Magic,OT,103,Minnesota Timberwolves,N
72,"16,820",Box Score,"Fri, Nov 7, 2014",,7:00p,115,Philadelphia 76ers,,118,Chicago Bulls,N
