,attendance,box_score_text,game_date,game_remarks,game_start_time,home_pts,home_team_name,overtimes,visitor_pts,visitor_team_name,playoffs
0,"21,957",Box Score,"Tue, Oct 27, 2015",,8:00p,97,Chicago Bulls,,95,Cleveland Cavaliers,N
1,"19,187",Box Score,"Tue, Oct 27, 2015",,8:00p,94,Atlanta Hawks,,106,Detroit Pistons,N
2,"19,596",Box Score,"Tue, Oct 27, 2015",,10:30p,111,Golden State Warriors,,95,New Orleans Pelicans,N
3,"18,846",Box Score,"Wed, Oct 28, 2015",,7:00p,87,Orlando Magic,,88,Washington Wizards,N
4,"18,624",Box Score,"Wed, Oct 28, 2015",,7:30p,112,Boston Celtics,,95,Philadelphia 76ers,N
5,"17,732",Box Score,"Wed, Oct 28, 2015",,7:30p,100,Brooklyn Nets,,115,Chicago Bulls,N
6,"18,434",Box Score,"Wed, Oct 28, 2015",,7:30p,92,Detroit Pistons,,87,Utah Jazz,N
7,"19,800",Box Score,"Wed, Oct 28, 2015",,7:30p,106,Toronto Raptors,,99,Indiana Pacers,N
8,"19,724",Box Score,"Wed, Oct 28, 2015",,7:30p,104,Miami Heat,,94,Charlotte Hornets,N
9,"18,717",Box Score,"Wed, Oct 28, 2015",,8:00p,97,Milwaukee Bucks,,122,New York Knicks,N
10,"18,203",Box Score,"Wed, Oct 28, 2015",,8:00p,112,Oklahoma City Thunder,,106,San Antonio Spurs,N
11,"18,119",Box Score,"Wed, Oct 28, 2015",,8:00p,76,Memphis Grizzlies,,106,Cleveland Cavaliers,N
12,"18,240",Box Score,"Wed, Oct 28, 2015",,8:00p,85,Houston Rockets,,105,Denver Nuggets,N
13,"18,055",Box Score,"Wed, Oct 28, 2015",,10:00p,95,Phoenix Suns,,111,Dallas Mavericks,N
14,"19,393",Box Score,"Wed, Oct 28, 2015",,10:00p,112,Portland Trail Blazers,,94,New Orleans Pelicans,N
15,"17,458",Box Score,"Wed, Oct 28, 2015",,10:00p,104,Sacramento Kings,,111,Los Angeles Clippers,N
16,"18,997",Box Score,"Wed, Oct 28, 2015",,10:30p,111,Los Angeles Lakers,,112,Minnesota Timberwolves,N
17,"18,165",Box Score,"Thu, Oct 29, 2015",,7:00p,103,Indiana Pacers,,112,Memphis Grizzlies,N
18,"19,812",Box Score,"Thu, Oct 29, 2015",,8:00p,101,New York Knicks,,112,Atlanta Hawks,N
19,"19,218",Box Score,"Thu, Oct 29, 2015",,10:30p,104,Los Angeles Clippers,,88,Dallas Mavericks,N
20,"20,562",Box Score,"Fri, Oct 30, 2015",,7:00p,102,Cleveland Cavaliers,,92,Miami Heat,N
21,"17,122",Box Score,"Fri, Oct 30, 2015",,7:00p,71,Philadelphia 76ers,,99,Utah Jazz,N
22,"18,846",Box Score,"Fri, Oct 30, 2015",,7:00p,136,Orlando Magic,2OT,139,Oklahoma City Thunder,N
23,"16,898",Box Score,"Fri, Oct 30, 2015",,7:30p,103,Boston Celtics,,113,Toronto Raptors,N
24,"16,035",Box Score,"Fri, Oct 30, 2015",,7:30p,98,Detroit Pistons,OT,94,Chicago Bulls,N
25,"17,024",Box Score,"Fri, Oct 30, 2015",,8:00p,97,Atlanta Hawks,,94,Charlotte Hornets,N
26,"13,858",Box Score,"Fri, Oct 30, 2015",,8:00p,113,Milwaukee Bucks,,118,Washington Wizards,N
27,"18,418",Box Score,"Fri, Oct 30, 2015",,8:30p,102,San Antonio Spurs,,75,Brooklyn Nets,N
28,"17,660",Box Score,"Fri, Oct 30, 2015",,9:00p,78,Denver Nuggets,,95,Minnesota Timberwolves,N
29,"18,142",Box Score,"Fri, Oct 30, 2015",,9:30p,92,Houston Rockets,,112,Golden State Warriors,N
30,"17,391",Box Score,"Fri, Oct 30, 2015",,10:00p,132,Sacramento Kings,,114,Los Angeles Lakers,N
31,"18,055",Box Score,"Fri, Oct 30, 2015",,10:30p,110,Phoenix Suns,,92,Portland Trail Blazers,N
32,"14,412",Box Score,"Sat, Oct 31, 2015",,7:00p,76,Indiana Pacers,,97,Utah Jazz,N
33,"20,356",Box Score,"Sat, Oct 31, 2015",,7:00p,110,Washington Wizards,,117,New York Knicks,N
34,"18,406",Box Score,"Sat, Oct 31, 2015",,7:30p,120,New Orleans Pelicans,,134,Golden State Warriors,N
35,"16,013",Box Score,"Sat, Oct 31, 2015",,8:00p,101,Memphis Grizzlies,,91,Brooklyn Nets,N
36,"17,906",Box Score,"Sat, Oct 31, 2015",,10:00p,90,Portland Trail Blazers,,101,Phoenix Suns,N
37,"19,060",Box Score,"Sat, Oct 31, 2015",,10:30p,114,Los Angeles Clippers,,109,Sacramento Kings,N
38,"18,691",Box Score,"Sun, Nov 1, 2015",,2:00p,92,Charlotte Hornets,,94,Atlanta Hawks,N
39,"17,461",Box Score,"Sun, Nov 1, 2015",,3:30p,87,Boston Celtics,,95,San Antonio Spurs,N
40,"19,600",Box Score,"Sun, Nov 1, 2015",,6:00p,109,Miami Heat,,89,Houston Rockets,N
41,"19,800",Box Score,"Sun, Nov 1, 2015",,6:00p,106,Toronto Raptors,,87,Milwaukee Bucks,N
42,"21,585",Box Score,"Sun, Nov 1, 2015",,7:00p,92,Chicago Bulls,,87,Orlando Magic,N
43,"18,203",Box Score,"Sun, Nov 1, 2015",,7:00p,117,Oklahoma City Thunder,,93,Denver Nuggets,N
44,"18,997",Box Score,"Sun, Nov 1, 2015",,9:30p,93,Los Angeles Lakers,,103,Dallas Mavericks,N
45,"18,094",Box Score,"Mon, Nov 2, 2015",,7:00p,100,Philadelphia 76ers,,107,Cleveland Cavaliers,N
46,"12,576",Box Score,"Mon, Nov 2, 2015",,7:30p,96,Brooklyn Nets,,103,Milwaukee Bucks,N
47,"19,812",Box Score,"Mon, Nov 2, 2015",,7:30p,84,New York Knicks,,94,San Antonio Spurs,N
48,"17,224",Box Score,"Mon, Nov 2, 2015",,8:00p,110,Houston Rockets,,105,Oklahoma City Thunder,N
49,"18,903",Box Score,"Mon, Nov 2, 2015",,8:00p,101,Minnesota Timberwolves,,106,Portland Trail Blazers,N
50,"19,596",Box Score,"Mon, Nov 2, 2015",,10:30p,119,Golden State Warriors,,69,Memphis Grizzlies,N
51,"19,060",Box Score,"Mon, Nov 2, 2015",,10:30p,102,Los Angeles Clippers,,96,Phoenix Suns,N
52,"15,136",Box Score,"Tue, Nov 3, 2015",,7:00p,130,Charlotte Hornets,,105,Chicago Bulls,N
53,"13,325",Box Score,"Tue, Nov 3, 2015",,7:30p,82,Detroit Pistons,,94,Indiana Pacers,N
54,"19,600",Box Score,"Tue, Nov 3, 2015",,7:30p,92,Miami Heat,,98,Atlanta Hawks,N
55,"16,876",Box Score,"Tue, Nov 3, 2015",,8:00p,94,New Orleans Pelicans,,103,Orlando Magic,N
56,"20,034",Box Score,"Tue, Nov 3, 2015",,8:30p,91,Dallas Mavericks,,102,Toronto Raptors,N
57,"17,317",Box Score,"Tue, Nov 3, 2015",,10:00p,89,Sacramento Kings,,103,Memphis Grizzlies,N
58,"18,997",Box Score,"Tue, Nov 3, 2015",,10:30p,109,Los Angeles Lakers,,120,Denver Nuggets,N
59,"14,022",Box Score,"Wed, Nov 4, 2015",,7:00p,100,Indiana Pacers,,98,Boston Celtics,N
60,"17,721",Box Score,"Wed, Nov 4, 2015",,7:00p,102,Washington Wizards,,99,San Antonio Spurs,N
61,"14,044",Box Score,"Wed, Nov 4, 2015",,8:00p,101,Atlanta Hawks,,87,Brooklyn Nets,N
62,"20,562",Box Score,"Wed, Nov 4, 2015",,8:00p,96,Cleveland Cavaliers,,86,New York Knicks,N
63,"16,735",Box Score,"Wed, Nov 4, 2015",,8:00p,119,Houston Rockets,OT,114,Orlando Magic,N
64,"12,437",Box Score,"Wed, Nov 4, 2015",,8:00p,91,Milwaukee Bucks,,87,Philadelphia 76ers,N
65,"18,203",Box Score,"Wed, Nov 4, 2015",,8:00p,98,Oklahoma City Thunder,,103,Toronto Raptors,N
66,"16,497",Box Score,"Wed, Nov 4, 2015",,9:00p,118,Phoenix Suns,,97,Sacramento Kings,N
67,"19,911",Box Score,"Wed, Nov 4, 2015",,9:00p,92,Utah Jazz,,108,Portland Trail Blazers,N
68,"19,596",Box Score,"Wed, Nov 4, 2015",,10:30p,112,Golden State Warriors,,108,Los Angeles Clippers,N
69,"21,861",Box Score,"Thu, Nov 5, 2015",,8:00p,104,Chicago Bulls,,98,Oklahoma City Thunder,N
70,"11,794",Box Score,"Thu, Nov 5, 2015",,8:00p,84,Minnesota Timberwolves,,96,Miami Heat,N
71,"19,635",Box Score,"Thu, Nov 5, 2015",,8:30p,94,Dallas Mavericks,,108,Charlotte Hornets,N
72,"9,906",Box Score,"Thu, Nov 5, 2015",,9:00p,84,Denver Nuggets,,96,Utah Jazz,N
73,"19,393",Box Score,"Thu, Nov 5, 2015",,10:30p,115,Portland Trail Blazers,,96,Memphis Grizzlies,N
74,"16,578",Box Score,"Fri, Nov 6, 2015",,7:00p,92,Orlando Magic,,87,Toronto Raptors,N
75,"18,624",Box Score,"Fri, Nov 6, 2015",,7:30p,118,Boston Celtics,,98,Washington Wizards,N
76,"17,732",Box Score,"Fri, Nov 6, 2015",,7:30p,98,Brooklyn Nets,,104,Los Angeles Lakers,N
77,"20,562",Box Score,"Fri, Nov 6, 2015",,7:30p,108,Cleveland Cavaliers,,102,Philadelphia 76ers,N
78,"19,812",Box Score,"Fri, Nov 6, 2015",,7:30p,92,New York Knicks,,99,Milwaukee Bucks,N
79,"16,914",Box Score,"Fri, Nov 6, 2015",,8:00p,90,Indiana Pacers,,87,Miami Heat,N
80,"16,983",Box Score,"Fri, Nov 6, 2015",,8:00p,115,New Orleans Pelicans,,121,Atlanta Hawks,N
81,"16,676",Box Score,"Fri, Nov 6, 2015",,9:30p,92,Phoenix Suns,,100,Detroit Pistons,N
82,"19,596",Box Score,"Fri, Nov 6, 2015",,10:30p,119,Golden State Warriors,,104,Denver Nuggets,N
83,"16,983",Box Score,"Fri, Nov 6, 2015",,10:30p,110,Sacramento Kings,,116,Houston Rockets,N
