,attendance,box_score_text,game_date,game_remarks,game_start_time,home_pts,home_team_name,overtimes,visitor_pts,visitor_team_name,playoffs
0,"19,763",Box Score,"Sun, Dec 25, 2011",,12:00p,106,New York Knicks,,104,Boston Celtics,N
1,"20,421",Box Score,"Sun, Dec 25, 2011",,2:30p,94,Dallas Mavericks,,105,Miami Heat,N
2,"18,997",Box Score,"Sun, Dec 25, 2011",,5:00p,87,Los Angeles Lakers,,88,Chicago Bulls,N
3,"18,203",Box Score,"Sun, Dec 25, 2011",,8:00p,97,Oklahoma City Thunder,,89,Orlando Magic,N
4,"19,596",Box Score,"Sun, Dec 25, 2011",,10:30p,86,Golden State Warriors,,105,Los Angeles Clippers,N
5,"20,562",Box Score,"Mon, Dec 26, 2011",,7:00p,96,Cleveland Cavaliers,,104,Toronto Raptors,N
6,"17,102",Box Score,"Mon, Dec 26, 2011",,7:00p,84,Washington Wizards,,90,New Jersey Nets,N
7,"18,846",Box Score,"Mon, Dec 26, 2011",,7:00p,104,Orlando Magic,,95,Houston Rockets,N
8,"18,165",Box Score,"Mon, Dec 26, 2011",,7:00p,91,Indiana Pacers,,79,Detroit Pistons,N
9,"17,173",Box Score,"Mon, Dec 26, 2011",,7:00p,96,Charlotte Bobcats,,95,Milwaukee Bucks,N
10,"19,406",Box Score,"Mon, Dec 26, 2011",,8:00p,100,Minnesota Timberwolves,,104,Oklahoma City Thunder,N
11,"20,408",Box Score,"Mon, Dec 26, 2011",,8:30p,93,Dallas Mavericks,,115,Denver Nuggets,N
12,"18,581",Box Score,"Mon, Dec 26, 2011",,8:30p,95,San Antonio Spurs,,82,Memphis Grizzlies,N
13,"17,776",Box Score,"Mon, Dec 26, 2011",,9:00p,84,Phoenix Suns,,85,New Orleans Hornets,N
14,"20,509",Box Score,"Mon, Dec 26, 2011",,10:00p,107,Portland Trail Blazers,,103,Philadelphia 76ers,N
15,"17,317",Box Score,"Mon, Dec 26, 2011",,10:00p,100,Sacramento Kings,,91,Los Angeles Lakers,N
