,attendance,box_score_text,game_date,game_remarks,game_start_time,home_pts,home_team_name,overtimes,visitor_pts,visitor_team_name,playoffs
0,"20,562",Box Score,"Tue, Oct 25, 2016",,7:30p,117,Cleveland Cavaliers,,88,New York Knicks,N
1,"19,446",Box Score,"Tue, Oct 25, 2016",,10:00p,113,Portland Trail Blazers,,104,Utah Jazz,N
2,"19,596",Box Score,"Tue, Oct 25, 2016",,10:30p,100,Golden State Warriors,,129,San Antonio Spurs,N
3,"17,923",Box Score,"Wed, Oct 26, 2016",,7:00p,130,Indiana Pacers,OT,121,Dallas Mavericks,N
4,"19,298",Box Score,"Wed, Oct 26, 2016",,7:00p,96,Orlando Magic,,108,Miami Heat,N
5,"19,800",Box Score,"Wed, Oct 26, 2016",,7:30p,109,Toronto Raptors,,91,Detroit Pistons,N
6,"18,624",Box Score,"Wed, Oct 26, 2016",,7:30p,122,Boston Celtics,,117,Brooklyn Nets,N
7,"18,717",Box Score,"Wed, Oct 26, 2016",,8:00p,96,Milwaukee Bucks,,107,Charlotte Hornets,N
8,"15,869",Box Score,"Wed, Oct 26, 2016",,8:00p,102,New Orleans Pelicans,,107,Denver Nuggets,N
9,"18,119",Box Score,"Wed, Oct 26, 2016",,8:00p,102,Memphis Grizzlies,,98,Minnesota Timberwolves,N
10,"20,487",Box Score,"Wed, Oct 26, 2016",,8:00p,97,Philadelphia 76ers,,103,Oklahoma City Thunder,N
11,"18,055",Box Score,"Wed, Oct 26, 2016",,10:00p,94,Phoenix Suns,,113,Sacramento Kings,N
12,"18,997",Box Score,"Wed, Oct 26, 2016",,10:30p,120,Los Angeles Lakers,,114,Houston Rockets,N
13,"19,049",Box Score,"Thu, Oct 27, 2016",,7:30p,114,Atlanta Hawks,,99,Washington Wizards,N
14,"21,501",Box Score,"Thu, Oct 27, 2016",,8:00p,105,Chicago Bulls,,99,Boston Celtics,N
15,"19,500",Box Score,"Thu, Oct 27, 2016",,10:30p,106,Portland Trail Blazers,,114,Los Angeles Clippers,N
16,"17,608",Box Score,"Thu, Oct 27, 2016",,10:30p,94,Sacramento Kings,,102,San Antonio Spurs,N
17,"19,800",Box Score,"Fri, Oct 28, 2016",,7:00p,91,Toronto Raptors,,94,Cleveland Cavaliers,N
18,"17,732",Box Score,"Fri, Oct 28, 2016",,7:30p,103,Brooklyn Nets,,94,Indiana Pacers,N
19,"19,122",Box Score,"Fri, Oct 28, 2016",,7:30p,108,Detroit Pistons,,82,Orlando Magic,N
20,"18,203",Box Score,"Fri, Oct 28, 2016",,8:00p,113,Oklahoma City Thunder,OT,110,Phoenix Suns,N
21,"19,600",Box Score,"Fri, Oct 28, 2016",,8:00p,91,Miami Heat,,97,Charlotte Hornets,N
22,"20,163",Box Score,"Fri, Oct 28, 2016",,8:30p,98,Dallas Mavericks,,106,Houston Rockets,N
23,"19,911",Box Score,"Fri, Oct 28, 2016",,9:00p,96,Utah Jazz,,89,Los Angeles Lakers,N
24,"18,217",Box Score,"Fri, Oct 28, 2016",,9:30p,114,New Orleans Pelicans,,122,Golden State Warriors,N
25,"16,312",Box Score,"Sat, Oct 29, 2016",,12:30p,72,Philadelphia 76ers,,104,Atlanta Hawks,N
26,"18,708",Box Score,"Sat, Oct 29, 2016",,7:00p,98,Charlotte Hornets,,104,Boston Celtics,N
27,"20,562",Box Score,"Sat, Oct 29, 2016",,7:30p,105,Cleveland Cavaliers,,99,Orlando Magic,N
28,"19,812",Box Score,"Sat, Oct 29, 2016",,7:30p,111,New York Knicks,,104,Memphis Grizzlies,N
29,"18,418",Box Score,"Sat, Oct 29, 2016",,8:00p,98,San Antonio Spurs,,79,New Orleans Pelicans,N
30,"12,570",Box Score,"Sat, Oct 29, 2016",,8:00p,110,Milwaukee Bucks,,108,Brooklyn Nets,N
31,"21,373",Box Score,"Sat, Oct 29, 2016",,8:00p,118,Chicago Bulls,,101,Indiana Pacers,N
32,"18,055",Box Score,"Sat, Oct 29, 2016",,9:00p,113,Denver Nuggets,OT,115,Portland Trail Blazers,N
33,"17,608",Box Score,"Sat, Oct 29, 2016",,10:30p,106,Sacramento Kings,,103,Minnesota Timberwolves,N
34,"19,060",Box Score,"Sun, Oct 30, 2016",,4:30p,88,Los Angeles Clippers,,75,Utah Jazz,N
35,"15,161",Box Score,"Sun, Oct 30, 2016",,6:00p,98,Detroit Pistons,,83,Milwaukee Bucks,N
36,"19,678",Box Score,"Sun, Oct 30, 2016",,6:00p,99,Miami Heat,,106,San Antonio Spurs,N
37,"17,011",Box Score,"Sun, Oct 30, 2016",,6:00p,100,Phoenix Suns,,106,Golden State Warriors,N
38,"18,203",Box Score,"Sun, Oct 30, 2016",,7:00p,113,Oklahoma City Thunder,,96,Los Angeles Lakers,N
39,"18,055",Box Score,"Sun, Oct 30, 2016",,8:00p,93,Houston Rockets,,92,Dallas Mavericks,N
40,"15,573",Box Score,"Sun, Oct 30, 2016",,8:00p,112,Memphis Grizzlies,OT,103,Washington Wizards,N
41,"12,501",Box Score,"Mon, Oct 31, 2016",,7:30p,106,Atlanta Hawks,,95,Sacramento Kings,N
42,"15,842",Box Score,"Mon, Oct 31, 2016",,7:30p,88,Brooklyn Nets,,118,Chicago Bulls,N
43,"19,800",Box Score,"Mon, Oct 31, 2016",,7:30p,105,Toronto Raptors,,102,Denver Nuggets,N
44,"19,060",Box Score,"Mon, Oct 31, 2016",,10:30p,116,Los Angeles Clippers,,98,Phoenix Suns,N
45,"20,562",Box Score,"Tue, Nov 1, 2016",,6:00p,128,Cleveland Cavaliers,,120,Houston Rockets,N
46,"15,348",Box Score,"Tue, Nov 1, 2016",,7:00p,115,Indiana Pacers,,108,Los Angeles Lakers,N
47,"12,529",Box Score,"Tue, Nov 1, 2016",,7:00p,101,Philadelphia 76ers,,103,Orlando Magic,N
48,"13,087",Box Score,"Tue, Nov 1, 2016",,7:30p,102,Detroit Pistons,,89,New York Knicks,N
49,"19,612",Box Score,"Tue, Nov 1, 2016",,7:30p,108,Miami Heat,OT,96,Sacramento Kings,N
50,"14,774",Box Score,"Tue, Nov 1, 2016",,8:00p,116,Minnesota Timberwolves,,80,Memphis Grizzlies,N
51,"15,515",Box Score,"Tue, Nov 1, 2016",,8:00p,113,New Orleans Pelicans,,117,Milwaukee Bucks,N
52,"18,418",Box Score,"Tue, Nov 1, 2016",,8:30p,91,San Antonio Spurs,,106,Utah Jazz,N
53,"19,393",Box Score,"Tue, Nov 1, 2016",,10:00p,104,Portland Trail Blazers,,127,Golden State Warriors,N
54,"15,275",Box Score,"Wed, Nov 2, 2016",,7:00p,109,Charlotte Hornets,,93,Philadelphia 76ers,N
55,"19,581",Box Score,"Wed, Nov 2, 2016",,7:00p,103,Washington Wizards,,113,Toronto Raptors,N
56,"13,800",Box Score,"Wed, Nov 2, 2016",,7:30p,116,Atlanta Hawks,,123,Los Angeles Lakers,N
57,"13,650",Box Score,"Wed, Nov 2, 2016",,7:30p,109,Brooklyn Nets,,101,Detroit Pistons,N
58,"19,812",Box Score,"Wed, Nov 2, 2016",,7:30p,99,New York Knicks,,118,Houston Rockets,N
59,"18,624",Box Score,"Wed, Nov 2, 2016",,8:00p,107,Boston Celtics,,100,Chicago Bulls,N
60,"15,881",Box Score,"Wed, Nov 2, 2016",,8:00p,89,Memphis Grizzlies,OT,83,New Orleans Pelicans,N
61,"19,318",Box Score,"Wed, Nov 2, 2016",,9:00p,97,Utah Jazz,,81,Dallas Mavericks,N
62,"17,284",Box Score,"Wed, Nov 2, 2016",,10:00p,118,Phoenix Suns,OT,115,Portland Trail Blazers,N
63,"19,060",Box Score,"Wed, Nov 2, 2016",,10:30p,83,Los Angeles Clippers,,85,Oklahoma City Thunder,N
64,"17,026",Box Score,"Thu, Nov 3, 2016",,7:00p,102,Orlando Magic,,94,Sacramento Kings,N
65,"20,562",Box Score,"Thu, Nov 3, 2016",,8:00p,128,Cleveland Cavaliers,,122,Boston Celtics,N
66,"11,374",Box Score,"Thu, Nov 3, 2016",,8:00p,125,Milwaukee Bucks,,107,Indiana Pacers,N
67,"11,219",Box Score,"Thu, Nov 3, 2016",,8:00p,99,Minnesota Timberwolves,,102,Denver Nuggets,N
68,"19,596",Box Score,"Thu, Nov 3, 2016",,10:30p,122,Golden State Warriors,,96,Oklahoma City Thunder,N
69,"14,663",Box Score,"Fri, Nov 4, 2016",,7:00p,95,Washington Wizards,,92,Atlanta Hawks,N
70,"15,775",Box Score,"Fri, Nov 4, 2016",,7:30p,95,Brooklyn Nets,,99,Charlotte Hornets,N
71,"19,800",Box Score,"Fri, Nov 4, 2016",,7:30p,96,Toronto Raptors,,87,Miami Heat,N
72,"22,376",Box Score,"Fri, Nov 4, 2016",,8:00p,104,Chicago Bulls,,117,New York Knicks,N
73,"17,115",Box Score,"Fri, Nov 4, 2016",,8:00p,88,Memphis Grizzlies,,99,Los Angeles Clippers,N
74,"15,379",Box Score,"Fri, Nov 4, 2016",,8:00p,111,New Orleans Pelicans,OT,112,Phoenix Suns,N
75,"19,475",Box Score,"Fri, Nov 4, 2016",,8:30p,95,Dallas Mavericks,,105,Portland Trail Blazers,N
76,"19,911",Box Score,"Fri, Nov 4, 2016",,9:00p,86,Utah Jazz,,100,San Antonio Spurs,N
77,"18,997",Box Score,"Fri, Nov 4, 2016",,10:30p,117,Los Angeles Lakers,,97,Golden State Warriors,N
78,"18,203",Box Score,"Sat, Nov 5, 2016",,6:00p,112,Oklahoma City Thunder,,92,Minnesota Timberwolves,N
79,"16,218",Box Score,"Sat, Nov 5, 2016",,7:00p,103,Detroit Pistons,,86,Denver Nuggets,N
80,"17,020",Box Score,"Sat, Nov 5, 2016",,7:00p,111,Indiana Pacers,,94,Chicago Bulls,N
81,"18,846",Box Score,"Sat, Nov 5, 2016",,7:00p,88,Orlando Magic,,86,Washington Wizards,N
82,"20,497",Box Score,"Sat, Nov 5, 2016",,7:00p,101,Philadelphia 76ers,,102,Cleveland Cavaliers,N
83,"16,895",Box Score,"Sat, Nov 5, 2016",,7:30p,112,Atlanta Hawks,,97,Houston Rockets,N
84,"16,021",Box Score,"Sat, Nov 5, 2016",,8:00p,117,Milwaukee Bucks,,91,Sacramento Kings,N
85,"18,418",Box Score,"Sat, Nov 5, 2016",,8:30p,92,San Antonio Spurs,,116,Los Angeles Clippers,N
86,"19,812",Box Score,"Sun, Nov 6, 2016",,12:00p,109,New York Knicks,,114,Utah Jazz,N
87,"16,233",Box Score,"Sun, Nov 6, 2016",,3:30p,94,Memphis Grizzlies,,100,Portland Trail Blazers,N
88,"19,800",Box Score,"Sun, Nov 6, 2016",,6:00p,91,Toronto Raptors,,96,Sacramento Kings,N
89,"19,345",Box Score,"Sun, Nov 6, 2016",,7:00p,86,Dallas Mavericks,OT,75,Milwaukee Bucks,N
90,"17,452",Box Score,"Sun, Nov 6, 2016",,7:30p,107,Boston Celtics,,123,Denver Nuggets,N
91,"18,997",Box Score,"Sun, Nov 6, 2016",,9:30p,119,Los Angeles Lakers,,108,Phoenix Suns,N
92,"16,880",Box Score,"Mon, Nov 7, 2016",,7:00p,122,Charlotte Hornets,,100,Indiana Pacers,N
93,"14,168",Box Score,"Mon, Nov 7, 2016",,7:00p,84,Philadelphia 76ers,,109,Utah Jazz,N
94,"13,173",Box Score,"Mon, Nov 7, 2016",,7:00p,106,Washington Wizards,,114,Houston Rockets,N
95,"21,320",Box Score,"Mon, Nov 7, 2016",,8:00p,112,Chicago Bulls,,80,Orlando Magic,N
96,"18,203",Box Score,"Mon, Nov 7, 2016",,8:00p,97,Oklahoma City Thunder,,85,Miami Heat,N
97,"19,596",Box Score,"Mon, Nov 7, 2016",,10:30p,116,Golden State Warriors,,106,New Orleans Pelicans,N
98,"19,060",Box Score,"Mon, Nov 7, 2016",,10:30p,114,Los Angeles Clippers,,82,Detroit Pistons,N
99,"20,562",Box Score,"Tue, Nov 8, 2016",,7:00p,106,Cleveland Cavaliers,,110,Atlanta Hawks,N
100,"13,610",Box Score,"Tue, Nov 8, 2016",,7:30p,119,Brooklyn Nets,,110,Minnesota Timberwolves,N
101,"15,109",Box Score,"Tue, Nov 8, 2016",,8:00p,108,Memphis Grizzlies,,107,Denver Nuggets,N
102,"19,239",Box Score,"Tue, Nov 8, 2016",,10:00p,124,Portland Trail Blazers,,121,Phoenix Suns,N
103,"18,997",Box Score,"Tue, Nov 8, 2016",,10:30p,97,Los Angeles Lakers,,109,Dallas Mavericks,N
104,"17,608",Box Score,"Tue, Nov 8, 2016",,10:30p,102,Sacramento Kings,,94,New Orleans Pelicans,N
105,"15,712",Box Score,"Wed, Nov 9, 2016",,7:00p,104,Charlotte Hornets,,98,Utah Jazz,N
106,"15,360",Box Score,"Wed, Nov 9, 2016",,7:00p,122,Indiana Pacers,OT,115,Philadelphia 76ers,N
107,"19,812",Box Score,"Wed, Nov 9, 2016",,7:00p,110,New York Knicks,,96,Brooklyn Nets,N
108,"17,102",Box Score,"Wed, Nov 9, 2016",,7:00p,107,Orlando Magic,,123,Minnesota Timberwolves,N
109,"12,675",Box Score,"Wed, Nov 9, 2016",,7:00p,118,Washington Wizards,,93,Boston Celtics,N
110,"16,354",Box Score,"Wed, Nov 9, 2016",,7:30p,115,Atlanta Hawks,,107,Chicago Bulls,N
111,"18,203",Box Score,"Wed, Nov 9, 2016",,8:00p,102,Oklahoma City Thunder,,112,Toronto Raptors,N
112,"16,719",Box Score,"Wed, Nov 9, 2016",,9:00p,107,Phoenix Suns,,100,Detroit Pistons,N
113,"18,418",Box Score,"Wed, Nov 9, 2016",,9:30p,99,San Antonio Spurs,,101,Houston Rockets,N
114,"19,596",Box Score,"Wed, Nov 9, 2016",,10:30p,116,Golden State Warriors,,95,Dallas Mavericks,N
115,"19,060",Box Score,"Wed, Nov 9, 2016",,10:30p,111,Los Angeles Clippers,,80,Portland Trail Blazers,N
116,"19,600",Box Score,"Thu, Nov 10, 2016",,8:00p,95,Miami Heat,,98,Chicago Bulls,N
117,"12,159",Box Score,"Thu, Nov 10, 2016",,8:00p,106,Milwaukee Bucks,,112,New Orleans Pelicans,N
118,"17,569",Box Score,"Thu, Nov 10, 2016",,9:00p,101,Denver Nuggets,,125,Golden State Warriors,N
119,"17,608",Box Score,"Thu, Nov 10, 2016",,10:30p,91,Sacramento Kings,,101,Los Angeles Lakers,N
120,"18,107",Box Score,"Fri, Nov 11, 2016",,7:00p,111,Charlotte Hornets,,113,Toronto Raptors,N
121,"18,846",Box Score,"Fri, Nov 11, 2016",,7:00p,74,Orlando Magic,,87,Utah Jazz,N
122,"17,643",Box Score,"Fri, Nov 11, 2016",,7:00p,109,Philadelphia 76ers,OT,105,Indiana Pacers,N
123,"20,356",Box Score,"Fri, Nov 11, 2016",,7:00p,94,Washington Wizards,,105,Cleveland Cavaliers,N
124,"18,624",Box Score,"Fri, Nov 11, 2016",,7:30p,115,Boston Celtics,,87,New York Knicks,N
125,"18,203",Box Score,"Fri, Nov 11, 2016",,8:00p,108,Oklahoma City Thunder,,110,Los Angeles Clippers,N
126,"18,418",Box Score,"Fri, Nov 11, 2016",,8:30p,96,San Antonio Spurs,,86,Detroit Pistons,N
127,"19,918",Box Score,"Fri, Nov 11, 2016",,10:00p,122,Portland Trail Blazers,OT,120,Sacramento Kings,N
128,"17,923",Box Score,"Sat, Nov 12, 2016",,7:00p,99,Indiana Pacers,,105,Boston Celtics,N
129,"17,138",Box Score,"Sat, Nov 12, 2016",,7:00p,99,New Orleans Pelicans,,126,Los Angeles Lakers,N
130,"17,399",Box Score,"Sat, Nov 12, 2016",,7:30p,117,Atlanta Hawks,,96,Philadelphia 76ers,N
131,"19,800",Box Score,"Sat, Nov 12, 2016",,7:30p,118,Toronto Raptors,,107,New York Knicks,N
132,"21,962",Box Score,"Sat, Nov 12, 2016",,8:00p,106,Chicago Bulls,,95,Washington Wizards,N
133,"18,055",Box Score,"Sat, Nov 12, 2016",,8:00p,100,Houston Rockets,,106,San Antonio Spurs,N
134,"19,600",Box Score,"Sat, Nov 12, 2016",,8:00p,91,Miami Heat,,102,Utah Jazz,N
135,"14,494",Box Score,"Sat, Nov 12, 2016",,8:00p,105,Minnesota Timberwolves,,119,Los Angeles Clippers,N
136,"14,327",Box Score,"Sat, Nov 12, 2016",,8:30p,106,Milwaukee Bucks,,96,Memphis Grizzlies,N
137,"13,997",Box Score,"Sat, Nov 12, 2016",,9:00p,95,Denver Nuggets,,106,Detroit Pistons,N
138,"17,126",Box Score,"Sat, Nov 12, 2016",,9:00p,104,Phoenix Suns,,122,Brooklyn Nets,N
139,"20,562",Box Score,"Sun, Nov 13, 2016",,3:30p,100,Cleveland Cavaliers,,93,Charlotte Hornets,N
140,"14,432",Box Score,"Sun, Nov 13, 2016",,7:00p,125,Minnesota Timberwolves,,99,Los Angeles Lakers,N
141,"18,203",Box Score,"Sun, Nov 13, 2016",,7:00p,117,Oklahoma City Thunder,,119,Orlando Magic,N
142,"19,596",Box Score,"Sun, Nov 13, 2016",,8:00p,133,Golden State Warriors,,120,Phoenix Suns,N
